,Nome,Linguagem
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,cups,C
22,darwin-libplatform,C
23,darwin-libpthread,C
24,darwin-xnu,C
25,device-management,
26,dnikit,Python
27,example-package-dealer,Swift
28,example-package-deckofplayingcards,Swift
29,example-package-figlet,Swift
30,example-package-fisheryates,Swift
31,example-package-playingcard,Swift
32,FHIRModels,Swift
33,foundationdb,C++
34,fstools,C
35,game-center-tools,Python
36,GCGC,Jupyter Notebook
37,homebrew-apple,Ruby
38,HomeKitADK,C
39,indexstore-db,C++
40,learning-compressible-subspaces,Python
41,learning-subspaces,Python
42,llvm-monorepo-root,
43,llvm-project,
44,llvm-project-v5,C++
45,llvm-project-v5-split,C++
46,MaterialX,
47,ml-afv,Python
48,ml-aim,Python
49,ml-all-pairs,Python
50,ml-ane-transformers,Python
51,ml-aspanformer,Python
52,ml-autofocusformer,Python
53,ml-autofocusformer-segmentation,Python
54,ml-batchquant,Python
55,ml-behavioral-testing-for-mt,
56,ml-calibration,Jupyter Notebook
57,ml-capsules-inverted-attention-routing,Python
58,ml-cifar-10-faster,Python
59,ml-code-switched-speech-translation,Python
60,ml-codeswitching-translations,
61,ml-collegial-ensembles,Python
62,ml-core,Python
63,ml-covid-mobility,R
64,ml-cread,Python
65,ml-cvnets,Python
66,ml-cvpr2019-swd,Python
67,ml-dab,Python
68,ml-data-parameters,Python
69,ml-delphi,
70,ml-destseg,Python
71,ml-dms-dataset,Python
72,ml-dprecs,Jupyter Notebook
73,ml-dr,Python
74,ml-duet,Python
75,ml-entity-deduction-arena,Python
76,ml-entropy-reconstruction,Python
77,ml-envmapnet,Python
78,ml-equivariant-neural-rendering,Jupyter Notebook
79,ml-facelit,Python
80,ml-fastvit,Python
81,ml-fct,Python
82,ml-ferret,Python
83,ml-finerecon,Python
84,ml-flair,Jupyter Notebook
85,ml-gaudi,
86,ml-gmpi,Python
87,ml-gsn,Python
88,ml-heart-rate-models,Python
89,ml-hierarchical-confusion-matrix,TypeScript
90,ml-hypersim,Python
91,ml-interspeech2022-phi_rtn,
92,ml-kge,Python
93,ml-knowledge-conflicts,Python
94,ml-live-pose,
95,ml-llarp,Python
96,ml-lucid-datagen,Python
97,ml-mgie,Python
98,ml-mkqa,Python
99,ml-mobileclip,Python
100,ml-mobileone,Swift
101,ml-multiple-futures-prediction,Python
102,ml-ncg,Python
103,ml-neilf,Python
104,ml-neilfpp,Python
105,ml-neuman,Python
106,ml-no-token-left-behind,Jupyter Notebook
107,ml-np-rasp,Python
108,ml-nvas3d,Python
109,ml-pointconvformer,Python
110,ml-pointersect,Python
111,ml-probabilistic-attention,Python
112,ml-projunit,Python
113,ml-qrecc,Python
114,ml-quant,Python
115,ml-reed,Python
116,ml-rlgrad,Python
117,ml-robust-expert-augmentations,Python
118,ml-sad,Python
119,ml-selfcond,Python
120,ml-shuffling-amplification,Python
121,ml-sigma-reparam,Python
122,ml-spatial-librispeech,
123,ml-spin,Python
124,ml-stable-diffusion,Python
125,ml-stabledreamer,
126,ml-stuttering-events-dataset,Python
127,ml-symphony,Svelte
128,ml-tic-clip,
129,ml-tract,Python
130,ml-transcript-translation-consistency-ratings,
131,ml-translate-vis,TypeScript
132,ml-tree-dst,Python
133,ml-tune-mode-convbn,Python
134,ml-upscale,Jupyter Notebook
135,ml-uwac,Python
136,ml-vfi-smiff,Python
137,ml-vision-transformers-ane,Python
138,openjdk,Java
139,password-manager-resources,JavaScript
140,pfl-research,Python
141,pkl,Java
142,pkl-go,Go
143,pkl-go-examples,Go
144,pkl-intellij,Kotlin
145,pkl-jvm-examples,Groovy
146,pkl-k8s,Kotlin
147,pkl-k8s-examples,
148,pkl-lang.org,JavaScript
149,pkl-neovim,Scheme
150,pkl-package-docs,Kotlin
151,pkl-pantry,Kotlin
152,pkl-project-commons,
153,pkl-spring,Java
154,pkl-swift,Swift
155,pkl-swift-examples,Swift
156,pkl-vscode,TypeScript
157,pkl.tmbundle,
158,sample-backyard-birds,Swift
159,sample-cloudkit-coredatasync,Swift
160,sample-cloudkit-encryption,Swift
161,sample-cloudkit-privatedb,Swift
162,sample-cloudkit-privatedb-sync,Swift
163,sample-cloudkit-queries,Swift
164,sample-cloudkit-sharing,Swift
165,sample-cloudkit-sync-engine,Swift
166,sample-cloudkit-tooling,JavaScript
167,sample-cloudkit-zonesharing,Swift
168,sample-food-truck,Swift
169,servicetalk,Java
170,sourcekit-lsp,Swift
171,swift,C++
172,swift-3-api-guidelines-review,Swift
173,swift-algorithms,Swift
174,swift-aoc-starter-example,Swift
175,swift-argument-parser,Swift
176,swift-asn1,Swift
177,swift-async-algorithms,Swift
178,swift-async-dns-resolver,Swift
179,swift-atomics,Swift
180,swift-book,Markdown
181,swift-cassandra-client,Swift
182,swift-certificates,Swift
183,swift-clang,C++
184,swift-clang-tools-extra,C++
185,swift-cluster-membership,Swift
186,swift-cmake-examples,CMake
187,swift-cmark,C
188,swift-collections,Swift
189,swift-collections-benchmark,Swift
190,swift-community-hosted-continuous-integration,
191,swift-compiler-rt,C
192,swift-corelibs-foundation,Swift
193,swift-corelibs-libdispatch,C
194,swift-corelibs-xctest,Swift
195,swift-crypto,C
196,swift-distributed-actors,Swift
197,swift-distributed-tracing,Swift
198,swift-distributed-tracing-baggage-core,Swift
199,swift-distributed-tracing-extras,Swift
200,swift-docc,Swift
201,swift-docc-plugin,Swift
202,swift-docc-render,JavaScript
203,swift-docc-render-artifact,
204,swift-docc-symbolkit,Swift
205,swift-docker,Dockerfile
206,swift-driver,Swift
207,swift-evolution,Markdown
208,swift-evolution-staging,Swift
209,swift-experimental-string-processing,Swift
210,swift-format,Swift
211,swift-foundation,Swift
212,swift-foundation-icu,C
213,swift-getting-started-cli,Swift
214,swift-getting-started-package-library,Swift
215,swift-http-structured-headers,Swift
216,swift-http-types,Swift
217,swift-installer-scripts,CMake
218,swift-integration-tests,Python
219,swift-internals,HTML
220,swift-issues,
221,swift-libcxx,C++
222,swift-llbuild,C++
223,swift-llbuild2,Swift
224,swift-lldb,C++
225,swift-llvm,LLVM
226,swift-llvm-bindings,Swift
227,swift-lmdb,C
228,swift-log,Swift
229,swift-markdown,Swift
230,swift-metrics,Swift
231,swift-metrics-extras,Swift
232,swift-mmio,Swift
233,swift-nio,Swift
234,swift-nio-examples,Swift
235,swift-nio-extras,Swift
236,swift-nio-http2,Swift
237,swift-nio-imap,Swift
238,swift-nio-nghttp2-support,Swift
239,swift-nio-ssh,Swift
240,swift-nio-ssl,C
241,swift-nio-ssl-support,Swift
242,swift-nio-transport-services,Swift
243,swift-nio-zlib-support,Swift
244,swift-numerics,Swift
245,swift-openapi-generator,Swift
246,swift-openapi-runtime,Swift
247,swift-openapi-urlsession,Swift
248,swift-org-website,SCSS
249,swift-package-collection-generator,Swift
250,swift-package-manager,Swift
251,swift-package-registry-compatibility-test-suite,Swift
252,swift-protobuf,Swift
253,swift-protobuf-plugin,
254,swift-protobuf-test-conformance,
255,swift-sample-distributed-actors-transport,Swift
256,swift-sdk-generator,Swift
257,swift-se0270-range-set,Swift
258,swift-se0288-is-power,Swift
259,swift-service-context,Swift
260,swift-service-discovery,Swift
261,swift-source-compat-suite,Python
262,swift-standard-library-preview,Swift
263,swift-statsd-client,Swift
264,swift-stress-tester,Swift
265,swift-syntax,Swift
266,swift-system,Swift
267,swift-testing,Swift
268,swift-tools-support-async,Swift
269,swift-tools-support-core,Swift
270,swift-xcode-playground-support,Swift
271,swiftpm-on-llbuild2,Swift
272,tensorflow_macos,Shell
273,tree-sitter-pkl,C
274,turicreate,C++
275,unityplugins,C#
276,VideoFlashingReduction,Mathematica
277,vqg-multimodal-assistant,Python
